Model;"Price
(USD)";Cores;Threads;"Base clock
(GHz)";"Max Turbo
(GHz)";"L3 cache
(MB)";IGP;"IGP base clock
(MHz)";"IGP max clock
(MHz)";"TDP
(W)";Comment
i9-10900K;$488;10;20;3,70;5,30;20;UHD630;350;1200;125;"The very ""best"" CPU"
i9-10900KF;$463;10;20;3,70;5,30;20;;;;125;Without IGP
i9-10900;$439;10;20;2,80;5,20;20;UHD630;350;1200;65;
i9-10900E;$440;10;20;2,80;4,70;20;UHD630;350;1200;65;
i9-10900F;$422;10;20;2,80;5,20;20;;;;65;Without IGP
i9-10900T;$439;10;20;1,90;4,60;20;UHD630;350;1200;35;Low power
i9-10850K;$453;10;20;3,60;5,20;20;UHD630;350;1200;125;
i7-10700K;$374;8;16;3,80;5,10;16;UHD630;350;1200;125;
i7-10700KF;$349;8;16;3,80;5,10;16;;;;125;Without IGP
i7-10700;$323;8;16;2,90;4,80;16;UHD630;350;1200;65;
i7-10700E;$330;8;16;2,90;4,50;16;UHD630;350;1150;65;
i7-10700F;$298;8;16;2,90;4,80;16;;;;65;Without IGP
i7-10700T;$323;8;16;2,00;4,50;16;UHD630;350;1200;35;Low power
i7-10700TE;$330;8;16;2,00;4,40;16;UHD630;350;1150;35;Low power
i5-10600K;$262;6;12;4,10;4,80;12;UHD630;350;1200;125;
i5-10600KF;$237;6;12;4,10;4,80;12;;;;125;Without IGP
i5-10600;$213;6;12;3,30;4,80;12;UHD630;350;1200;65;
i5-10600T;$213;6;12;2,40;4,00;12;UHD630;350;1200;35;Low power
i5-10500;$192;6;12;3,10;4,50;12;UHD630;350;1150;65;
i5-10500E;$195;6;12;3,10;4,20;12;UHD630;350;1150;65;
i5-10500T;$192;6;12;2,30;3,80;12;UHD630;350;1150;35;Low power
i5-10500TE;$195;6;12;2,30;3,70;12;UHD630;350;1150;35;Low power
i5-10400;$182;6;12;2,90;4,30;12;UHD630;360;1100;65;
i5-10400F;$155;6;12;2,90;4,30;12;;;;65;Without IGP
i5-10400T;$182;6;12;2,30;3,60;12;UHD630;350;1200;35;Low power
i3-10320;$154;4;8;3,80;4,60;8;UHD630;350;1150;65;
i3-10300;$143;4;8;3,70;4,40;8;UHD630;350;1150;65;
i3-10300T;$143;4;8;3,00;3,90;8;UHD630;350;1100;35;Low power
i3-10100;$122;4;8;3,60;4,30;6;UHD630;350;1100;65;
i3-10100E;$125;4;8;3,20;3,80;6;UHD630;350;1100;65;
i3-10100F;$79;4;8;3,60;4,30;6;;;;65;Without IGP
i3-10100T;$122;4;8;3,00;3,80;6;UHD630;350;1100;35;Low power
i3-10100TE;$125;4;8;2,30;3,60;6;UHD630;350;1100;35;Low power
