kood;nimi;pindala;maakond
JAH1000043;Suure-Jaani;10130;Viljandi
JAH1000278;Hageri;32892;Rapla
JAH1000046;K‰‰pa;6250;Vıru
JAH1000036;Ruusm‰e;9850;Vıru
JAH1000259;Viiratsi;13530;Viljandi
JAH1000044;Illi;5250;Vıru
JAH1000021;Obinitsa;5970;Vıru
JAH1000058;Misso;11830;Vıru
JAH1000034;Puka;13610;Valga
JAH1000061;Hellenurme;16370;Valga
JAH1000004;Sangaste;13460;Valga
JAH1000010;Laatre;13250;Valga
JAH1000042;T‰‰ksi;10790;Viljandi
JAH1000053;Imavere;13940;J‰rva
JAH1000018;Juuru;9870;Rapla
JAH1000002;R‰pina;12760;Pılva
JAH1000051;Kılleste;10680;Pılva
JAH1000019;Laasi;8260;Hiiu
JAH1000027;Antsla;8640;Vıru
JAH1000045;Haapsalu;34510;L‰‰ne
JAH1000008;Kasari;19560;L‰‰ne
JAH1000224;Sangla;5880;Tartu
JAH1000184;Karula;9770;Valga
JAH1000281;Suuremıisa;17190;Hiiu
JAH1000322;Uhtna;18760;L‰‰ne-Viru
JAH1000324;Vinni;13600;L‰‰ne-Viru
JAH1000326;Tırma;11500;L‰‰ne-Viru
JAH1000312;Rakke;20830;L‰‰ne-Viru
JAH1000009;Halliste;15320;Viljandi
JAH1000297;Ida-Harju;120670;Harju
JAH1000320;Mahu;7940;L‰‰ne-Viru
JAH1000300;P‰ri-Metsk¸la;13830;Viljandi
JAH1000295;Tammiku;8010;Harju
JAH1000310;Tamsalu;13220;L‰‰ne-Viru
JAH1000035;Kuressaare;10350;Saare
JAH1000049;Pihtla;13810;Saare
JAH1000091;Palivere;10620;L‰‰ne
JAH1000077;Polli;6050;Viljandi
JAH1000102;Kooraste;6960;Pılva
JAH1000081;Saverna;8450;Pılva
JAH1000082;Peri;10720;Pılva
JAH1000122;Taevaskoja;10060;Pılva
JAH1000079;Rasina;10440;Pılva
JAH1000071;V‰rska;17480;Pılva
JAH1000063;Rıuge;13850;Vıru
JAH1000012;Varstu;7950;Vıru
JAH1000076;Koikk¸la;6050;Valga
JAH1000124;Tırva;6010;Valga
JAH1000075;Aidu;8400;Jıgeva
JAH1000101;Karksi;11410;Viljandi
JAH1000097;Holstre;7130;Viljandi
JAH1000015;Nuia;11510;Viljandi
JAH1000100;Vormsi;9170;L‰‰ne
JAH1000094;Esna;12100;J‰rva
JAH1000120;Alliku;12000;J‰rva
JAH1000068;Luunja;13840;Tartu
JAH1000107;‹lenurme;9640;Tartu
JAH1000089;Peipsi‰‰re;25150;Tartu
JAH1000066;J‰rvselja;16410;Tartu
JAH1000093;Tahkuna;14840;Hiiu
JAH1000111;Laimjala;13810;Saare
JAH1000065;Kaali;8910;Saare
JAH1000011;Laugi;20180;Saare
JAH1000040;Kohila;12470;Rapla
JAH1000020;Lihula;18710;L‰‰ne
JAH1000117;Torgu;7810;Saare
JAH1000013;Hino;5630;Vıru
JAH1000033;Kaiu;18040;Rapla
JAH1000057;K‰ru;19180;Rapla
JAH1000052;M‰rjamaa;12780;Rapla
